name,prefecture,city,location_raw,url,mola_star,lat,lng,has_elephant,has_giraffe,has_lion,has_tiger,has_panda,has_gorilla,has_hippo,has_koala,has_polar_bear,has_red_panda,is_closed,closed_at
羽村市動物公園,東京都,羽村市,,http://www.t-net.ne.jp/~hamura-z/,0,35.7670429,139.3292103,False,True,False,False,False,False,False,False,False,True,False,
江戸川区自然動物園,東京都,江戸川区,,http://edogawa-kankyozaidan.jp/zoo/,0,35.6709887,139.8584584,False,False,False,False,False,False,False,False,False,True,False,
足立区生物園,東京都,足立区,,http://www.seibutuen.jp/,0,35.7923576,139.8071899,False,False,False,False,False,False,False,False,False,False,False,
町田リス園,東京都,町田市,,https://www.machida-risuen.com/,0,35.5779748,139.4499801,False,False,False,False,False,False,False,False,False,False,False,
千葉市動物公園,千葉県,千葉市若葉区,,http://www.city.chiba.jp/zoo/,0,35.6451462,140.1271319,True,True,True,False,False,True,False,False,False,True,False,
市川市動植物園,千葉県,市川市,,http://www.city.ichikawa.lg.jp/zoo/index.html,0,35.7646678,139.9651005,False,False,False,False,False,False,False,False,False,True,False,
市原ぞうの国,千葉県,市原市,,http://www.zounokuni.com/,0,35.3552433,140.1821993,True,True,False,False,False,False,True,False,False,False,False,
川崎市夢見ヶ崎動物公園,神奈川県,川崎市幸区,,http://www.city.kawasaki.jp/shisetsu/category/30-26-0-0-0-0-0-0-0-0.html,0,35.549562,139.664968,False,False,False,False,False,False,False,False,False,False,False,
横浜市立野毛山動物園,神奈川県,横浜市西区,,http://www.hama-midorinokyokai.or.jp/zoo/nogeyama/,0,35.4475396,139.6226411,False,True,True,True,False,False,False,False,False,False,False,
横浜市立金沢動物園,神奈川県,横浜市金沢区,,http://www.hama-midorinokyokai.or.jp/zoo/kanazawa/,0,35.3498455,139.5974859,True,True,False,False,False,False,False,True,False,False,False,
横浜市立よこはま動物園,神奈川県,横浜市旭区,,http://www.hama-midorinokyokai.or.jp/zoo/zoorasia/,0,35.494425,139.525295,True,True,True,True,False,False,False,False,True,False,False,
甲府市遊亀公園附属動物園,山梨県,甲府市,,https://www.city.kofu.yamanashi.jp/zoo/index.html,0,35.6507571,138.5719505,True,False,False,True,False,False,False,False,False,True,False,
富山市ファミリーパーク,富山県,富山市,,http://www.toyama-familypark.jp/,0,36.6935641,137.1489729,False,True,False,True,False,False,False,False,False,True,False,
高岡古城公園動物園,富山県,高岡市,,http://www.takaokakojyozoo.jp/,0,36.747315,137.022171,False,False,False,False,False,False,False,False,False,False,False,
いしかわ動物園,石川県,能美市,,http://www.ishikawazoo.jp/,0,36.4333095,136.5461797,True,True,True,True,False,False,False,False,False,True,False,
鯖江市西山動物園,福井県,鯖江市,,https://www.city.sabae.fukui.jp/nishiyama_zoo/,0,35.9506507,136.1808967,False,False,False,False,False,False,False,False,False,True,False,
小諸市動物園,長野県,小諸市,,https://www.city.komoro.lg.jp/komoro_zoo/index.html,0,36.3259209,138.4182463,False,False,False,False,False,False,False,False,False,False,False,
須坂市動物園,長野県,須坂市,,https://www.city.suzaka.nagano.jp/suzaka_zoo/,0,36.6424127,138.3111157,False,False,False,True,False,False,False,False,False,False,False,
長野市茶臼山動物園,長野県,長野市,,http://www.chausuyama.com/,0,36.585334,138.1152468,True,True,True,True,False,False,False,False,False,True,False,
飯田市立動物園,長野県,飯田市,,https://iidazoo.jp/,0,35.5139319,137.8239585,False,False,False,False,False,False,False,False,False,False,False,
市立大町山岳博物館,長野県,大町市,,http://www.omachi-sanpaku.com/,0,,,False,False,False,False,False,False,False,False,False,False,False,
